Exercise,Equipment,Exercise Type,Major Muscle,Minor Muscle,Example,Notes,Modifications
Side Lunge,"Body Weight,Dumbbells",Weight,Legs,Outer Thigh,lungeside.gif (https://v5.airtableusercontent.com/v3/u/33/33/1726855200000/m3cvDmNCPN7YFJp_fmedqQ/EHbVyYEAnT3XHDanBnjv8UY89Wjj5WqOv82S0Q6TWV71fRDaOJW9QeoeZBkCzB-l1U1fC7lzI1zisfZy9-V3VO7mUvZq4V2k_SlTIpXJBLE/UgnWQpFovoyAAO_T9bHo5CeEinYGdMAg23w8203N4nU),,Easier: no weights
Side Plank,Body Weight,Weight,"Full Body,Core",Oblique,_main2_sideplank.jpg (https://v5.airtableusercontent.com/v3/u/33/33/1726855200000/nhcrWcBNG-sS6ST8Qt7Hgg/ak7W5fagEyjqq4DwSuWJ4_IJPTyKLyaHfzeG-1Yx9rCC4PRj6p9z0MQMm7rnP41mJorwgeV1ZSRDJcsbt1pToItFHnljTYE4EGLu0V1TcgM/a8xje6uFLSyMsYDKYqc_ja6z6L_WtBG-gEKJZtxI83s),,Easier: do the movement from your knees
Side Plank Dips,Body Weight,Weight,Core,Oblique,Side-Plank-Hip-Dips.gif (https://v5.airtableusercontent.com/v3/u/33/33/1726855200000/8Plh6yLDVSEjUK9fwp8Ffw/349QDGElf8--qyaP4_rvnglVTR8Fvwd28bmub1vh6C2qS0qwKNo7dvTneiwgQk1647OocCHkV6ZZJyEi4G1ayEvmDbuIXQ5RaJKLOwaRRPAWKjvKKyXN0Zhy4s12sUzo/9ffDeGAkRbpglSeFnidZYH9hn6yy4FACnBzKk-2tFOE),,Easier: do the movement from your knees
Side Plank with Leg Lift,"Band,Body Weight",Weight,Core,Oblique,75dcba8e-f0af-48c0-a6e8-c477b738911e.gif (https://v5.airtableusercontent.com/v3/u/33/33/1726855200000/XJfNQf6D7mfmWNy0G6FnzQ/r_jBi5Bvmk1y1SW62G1Xt3qif6trC8slia6Bxe_g9EDQXYKlGiAkPSGr_get2JQcYsqEQOO9_IJ-b9bJ43C256ZUrj3Qu06408MsDgW-5XRVhhFElbsFDIsMIRuSaavYmXfoH32oZrm_JvTTlj1g1Q/gW9nTAMrX147sIZh6X4hZqabbqGgK2PIkpr6oLccLSk),,Easier: do the movement from your knees
Single Arm Clean and Press ,"Kettlebells,Dumbbells",Weight,"Full Body,Arms",Shoulders,KettleBellCleanPress.gif (https://v5.airtableusercontent.com/v3/u/33/33/1726855200000/a8eQm9F539omCNCqFP5x2g/EYF3kL2VkzG93j_TnQFDQVcwZlzrN0HqRxlE_0Ao5pinf5G_L8eqAASITe8kb1YbPhibnpLONjgqpo8Iyiew6tp8v2klvTO51VgwNf2YBFLIKKdFQih8SMWmvO1uNvRN/9lPx4elgaw2tlglqon1mff7iKzoO42gIKikORjVfNvo),Currently using 25LB,
Single Leg Hip Bridge,"Body Weight,Dumbbells,Bosu Ball",Weight,Legs,Hamstrings,Hip-Thrust.gif (https://v5.airtableusercontent.com/v3/u/33/33/1726855200000/0AexKpsdNDRWRLCcf9eFeg/mDyscmgzkTIJ2FHqjcI2DBMdFM57JgmVsL-zbbxBr9ro-0LUU7soXsXkvE2GlkX0Hzbix7ZnmBlBQIZl0j9IpOxYc9zmQSlrkM980LKtkok/ikrulP_9QVJeJT9zyhTUxmZFtYveKX9oUkXW01PGo_w),You're wasting your time on this if you're not actually thinking about squeezing your glutes with each movement. You really need to be focused to do this.,Easier: remove the ball and do this movement from the floor.
Single Leg Squat,Body Weight,Weight,Legs,"Glutes,Quads",c7c4a48e-8a32-4f5e-aacf-bf152712e71a.gif (https://v5.airtableusercontent.com/v3/u/33/33/1726855200000/yUb3NmhIz7OlKleCrZHblQ/yMWrwheHkauYWgUIyMqUYrGgTu-7-12Dg70ofc_n0uLIyUVEZp3P_Dcpq43HXTiuM7VTG0ucIFzyat-I7GqNq0_WPSCf66_C5zSsdoZf3SI6n1QTrFUwHU92ojTTnpZyPQ1OFOGWgDOb2_2BKr2LFg/RcAEB1XrTPve8Etj11XSD-FDDqXXmvZ3DfDWxOMQm1A),,
Situp and Throw,Medicine Ball,Weight,Core,,30-best-ab-exercises-situp-and-throw.jpg (https://v5.airtableusercontent.com/v3/u/33/33/1726855200000/kjt4AIxRPZ-WG2NCHPyQIw/jLDZY7Fyw_LHOWkWRazoiNNo0v4BnEDCDIKTHRoe2nNruHAHR1APcS9wm0uG5w_bGWFsZ6dsiHMEMW20ShvIB2938lAOimlOvlmeAj9UkRHFhBPhzF0pMO_r_GWoykkW1ed984D0CHrbWBXBnowPsA/Uc2oFZ2gP0DG60KmH4Yw6vOKf-Xvh71c6ntez792vZY),,
Skaters,Body Weight,Cardio,Legs,Outer Thigh,cca03f06-da6a-4d09-9718-b6e595fb2b96.gif (https://v5.airtableusercontent.com/v3/u/33/33/1726855200000/g7fzhVH2NGIgwwr8mKBa_Q/wpKCvr7RVXKlfNe-1EbXt8K63c7xWO8HOd20AguydwOuADzx2PmtPwEqL_Hi8AGgdnvAbmq9GqWaxt5NdbJACp2rz8_PGVCaG3-xaZu8nwrwr0qWt2yqPCu_KO0tNZIarIEcTlHFrSdO0YpAJDa7EQ/L79WYen3bYGEM1CQRDhnvHL19PzjFv9vIRncd_YsWUA),Lady in the gif isn't giving it 100% make sure to touch the ground between reps,"Easier: remove the jump
Harder: Hold Weights"
Skipping,Body Weight,"Cardio,Laps",Full Body,,4ee3d030-05d7-4961-86a6-bcdc727ec8e9.gif (https://v5.airtableusercontent.com/v3/u/33/33/1726855200000/CmE5oCo1F7jlDrDMXsWu_Q/rY6Jti6meQu8UAAy1ZojW2ZigE8eW_D6YLVsqdqGVlUlgnIclkkO9vslb-TXu4SGCmdrs0ASrXgqJkg7SNsfwGBn-rbPHnPjr6kFRNKO3CZdLONlLxNlCJt5GcxRlBRTEQ2DP57m966EQgvz9GHdPw/QehpdmsbguIPZWRYH5nyzCKpAnI0DbuY2wFQycBKgjk),,
